ID,task,CHOICE,scenario_id,age_idx,edu_idx,income_indiv_idx,dur1,dur2,dur3,fee1,fee2,fee3,exempt1,exempt2,exempt3,fee1_10k,fee2_10k,fee3_10k
5,5,3,678,3,2,0,2,6,21,1432235,1258015,0,1,1,0,143.2235,125.8015,0.0
5,6,3,26,3,2,0,2,9,18,1591342,819284,0,1,1,0,159.1342,81.9284,0.0
5,7,2,716,3,2,0,6,10,26,1170474,768045,0,1,1,0,117.0474,76.8045,0.0
5,8,2,133,3,2,0,2,6,27,1355483,1050348,0,1,1,0,135.5483,105.0348,0.0
5,9,3,489,3,2,0,4,11,20,1514690,631160,0,1,1,0,151.469,63.116,0.0
6,0,1,749,2,1,0,6,4,22,782470,1074033,0,1,1,0,78.247,107.4033,0.0
6,1,3,420,2,1,0,9,5,22,884426,1703281,0,1,1,0,88.4426,170.3281,0.0
6,2,2,847,2,1,0,5,8,24,1862858,656129,0,1,1,0,186.2858,65.6129,0.0
6,3,2,18,2,1,0,4,9,24,1350372,687617,0,1,1,0,135.0372,68.7617,0.0
6,4,2,934,2,1,0,6,8,24,1229674,873484,0,1,1,0,122.9674,87.3484,0.0
6,5,3,868,2,1,0,9,1,18,1051779,1206353,0,1,1,0,105.1779,120.6353,0.0
6,6,3,275,2,1,0,11,6,18,1177658,1199699,0,1,1,0,117.7658,119.9699,0.0
6,7,2,454,2,1,0,1,11,21,1404545,607451,0,1,1,0,140.4545,60.7451,0.0
6,8,1,476,2,1,0,9,1,27,630781,1629452,0,1,1,0,63.0781,162.9452,0.0
6,9,2,595,2,1,0,8,3,26,933454,1029021,0,1,1,0,93.3454,102.9021,0.0
7,0,3,541,1,1,0,4,8,18,1883493,1128060,0,1,1,0,188.3493,112.806,0.0
7,1,3,22,1,1,0,3,10,25,1357746,1089179,0,1,1,0,135.7746,108.9179,0.0
7,2,3,829,1,1,0,8,2,20,821238,995816,0,1,1,0,82.1238,99.5816,0.0
7,3,3,318,1,1,0,1,7,20,1050257,1040733,0,1,1,0,105.0257,104.0733,0.0
7,4,2,229,1,1,0,3,6,22,1478811,584614,0,1,1,0,147.8811,58.4614,0.0
7,5,3,250,1,1,0,6,8,20,1813544,1192428,0,1,1,0,181.3544,119.2428,0.0
7,6,2,94,1,1,0,5,9,26,1150925,795091,0,1,1,0,115.0925,79.5091,0.0
7,7,3,834,1,1,0,10,1,20,527754,1427615,0,1,1,0,52.7754,142.7615,0.0
7,8,1,321,1,1,0,10,4,26,598550,1162051,0,1,1,0,59.855,116.2051,0.0
7,9,3,803,1,1,0,8,4,21,1044935,1334938,0,1,1,0,104.4935,133.4938,0.0
8,0,2,687,3,3,1,1,6,27,1112178,785654,0,1,1,0,111.2178,78.5654,0.0
8,1,1,640,3,3,1,8,4,25,698133,1842511,0,1,1,0,69.8133,184.2511,0.0
8,2,3,506,3,3,1,3,9,19,1781146,953676,0,1,1,0,178.1146,95.3676,0.0
8,3,3,367,3,3,1,3,9,22,1395292,989476,0,1,1,0,139.5292,98.9476,0.0
8,4,2,855,3,3,1,6,10,23,1585366,612412,0,1,1,0,158.5366,61.2412,0.0
8,5,3,481,3,3,1,11,6,18,941371,1706055,0,1,1,0,94.1371,170.6055,0.0
8,6,1,767,3,3,1,11,4,21,589215,1340368,0,1,1,0,58.9215,134.0368,0.0
8,7,1,633,3,3,1,6,5,27,648425,2000000,0,1,1,0,64.8425,200.0,0.0
8,8,3,953,3,3,1,8,6,21,1061129,1302322,0,1,1,0,106.1129,130.2322,0.0
8,9,1,615,3,3,1,10,4,24,767251,1880657,0,1,1,0,76.7251,188.0657,0.0
9,0,1,997,3,3,4,8,3,25,709063,1409892,0,1,1,0,70.9063,140.9892,0.0
9,1,1,796,3,3,4,6,5,24,615222,1348013,0,1,1,0,61.5222,134.8013,0.0
9,2,3,130,3,3,4,6,2,25,933177,1006347,0,1,1,0,93.3177,100.6347,0.0
9,3,1,565,3,3,4,9,6,25,691551,1293998,0,1,1,0,69.1551,129.3998,0.0
9,4,2,236,3,3,4,4,6,25,1911081,558921,0,1,1,0,191.1081,55.8921,0.0
9,5,3,600,3,3,4,6,3,19,972151,1388967,0,1,1,0,97.2151,138.8967,0.0
9,6,3,922,3,3,4,4,7,20,1290581,736186,0,1,1,0,129.0581,73.6186,0.0
9,7,2,775,3,3,4,3,10,25,1578884,659747,0,1,1,0,157.8884,65.9747,0.0
9,8,3,533,3,3,4,2,10,27,1218725,1005734,0,1,1,0,121.8725,100.5734,0.0
9,9,3,315,3,3,4,8,4,22,849494,1859436,0,1,1,0,84.9494,185.9436,0.0
10,0,2,613,2,4,4,10,3,23,889830,1248482,0,1,1,0,88.983,124.8482,0.0
10,1,3,480,2,4,4,6,2,19,988471,1287027,0,1,1,0,98.8471,128.7027,0.0
10,2,3,878,2,4,4,9,4,18,599608,1050588,0,1,1,0,59.9608,105.0588,0.0
10,3,3,638,2,4,4,1,11,20,1438648,639315,0,1,1,0,143.8648,63.9315,0.0
10,4,3,432,2,4,4,4,8,18,1380448,897080,0,1,1,0,138.0448,89.708,0.0
10,5,2,296,2,4,4,5,6,26,1962482,902375,0,1,1,0,196.2482,90.2375,0.0
10,6,1,391,2,4,4,11,4,27,508742,1663572,0,1,1,0,50.8742,166.3572,0.0
10,7,2,998,2,4,4,8,3,19,992128,1610505,0,1,1,0,99.2128,161.0505,0.0
10,8,2,137,2,4,4,5,8,24,1570573,599851,0,1,1,0,157.0573,59.9851,0.0
10,9,3,651,2,4,4,7,5,23,985704,1095161,0,1,1,0,98.5704,109.5161,0.0
11,0,3,910,1,4,3,10,4,25,758112,1404657,0,1,1,0,75.8112,140.4657,0.0
11,1,3,37,1,4,3,6,11,23,1841672,612096,0,1,1,0,184.1672,61.2096,0.0
11,2,3,245,1,4,3,9,2,20,847375,1788262,0,1,1,0,84.7375,178.8262,0.0
11,3,1,58,1,4,3,10,1,23,622226,1192869,0,1,1,0,62.2226,119.2869,0.0
11,4,2,457,1,4,3,6,7,21,1055871,634993,0,1,1,0,105.5871,63.4993,0.0
11,5,1,202,1,4,3,6,3,19,694611,2000000,0,1,1,0,69.4611,200.0,0.0
11,6,3,814,1,4,3,11,4,25,760262,1550793,0,1,1,0,76.0262,155.0793,0.0
11,7,2,735,1,4,3,2,7,25,1780394,685870,0,1,1,0,178.0394,68.587,0.0
11,8,3,71,1,4,3,10,1,24,883522,1196207,0,1,1,0,88.3522,119.6207,0.0
11,9,2,617,1,4,3,5,9,27,1834126,521963,0,1,1,0,183.4126,52.1963,0.0
12,0,3,255,4,3,4,3,9,26,1190365,755654,0,1,1,0,119.0365,75.5654,0.0
12,1,3,637,4,3,4,6,5,26,1098954,1671369,0,1,1,0,109.8954,167.1369,0.0
12,2,3,258,4,3,4,7,3,19,1172033,1332831,0,1,1,0,117.2033,133.2831,0.0
12,3,1,650,4,3,4,10,2,20,500000,1198766,0,1,1,0,50.0,119.8766,0.0
12,4,3,974,4,3,4,5,7,25,990182,875539,0,1,1,0,99.0182,87.5539,0.0
12,5,2,135,4,3,4,3,10,27,1716227,927394,0,1,1,0,171.6227,92.7394,0.0
12,6,1,154,4,3,4,7,4,22,500000,1148168,0,1,1,0,50.0,114.8168,0.0
12,7,2,409,4,3,4,2,11,23,1713737,713079,0,1,1,0,171.3737,71.3079,0.0
12,8,2,148,4,3,4,2,11,21,1539018,500000,0,1,1,0,153.9018,50.0,0.0
12,9,3,226,4,3,4,5,7,22,2000000,1118769,0,1,1,0,200.0,111.8769,0.0
13,0,2,530,3,3,2,5,7,24,1620983,616160,0,1,1,0,162.0983,61.616,0.0
13,1,2,627,3,3,2,2,6,20,1585763,627692,0,1,1,0,158.5763,62.7692,0.0
13,2,3,734,3,3,2,10,2,20,890496,1649262,0,1,1,0,89.0496,164.9262,0.0
13,3,1,521,3,3,2,10,3,20,833171,1588547,0,1,1,0,83.3171,158.8547,0.0
13,4,3,869,3,3,2,9,3,20,855940,1628888,0,1,1,0,85.594,162.8888,0.0
13,5,1,842,3,3,2,7,3,25,655202,1258453,0,1,1,0,65.5202,125.8453,0.0
13,6,2,903,3,3,2,4,11,26,1906195,500000,0,1,1,0,190.6195,50.0,0.0
13,7,2,15,3,3,2,4,9,25,1492713,956143,0,1,1,0,149.2713,95.6143,0.0
13,8,2,509,3,3,2,9,2,25,919683,1301735,0,1,1,0,91.9683,130.1735,0.0
13,9,3,365,3,3,2,7,2,18,1087682,1754528,0,1,1,0,108.7682,175.4528,0.0
14,0,1,675,1,3,0,10,1,21,762569,1337897,0,1,1,0,76.2569,133.7897,0.0
14,1,2,210,1,3,0,3,9,24,1408230,786033,0,1,1,0,140.823,78.6033,0.0
14,2,3,201,1,3,0,4,10,19,1477519,747572,0,1,1,0,147.7519,74.7572,0.0
14,3,3,840,1,3,0,3,6,22,1377636,951819,0,1,1,0,137.7636,95.1819,0.0
14,4,3,42,1,3,0,7,3,26,1101654,1790724,0,1,1,0,110.1654,179.0724,0.0
14,5,1,434,1,3,0,11,2,21,923096,1173360,0,1,1,0,92.3096,117.336,0.0
14,6,2,193,1,3,0,6,9,19,1898932,730413,0,1,1,0,189.8932,73.0413,0.0
14,7,3,293,1,3,0,1,7,26,1847838,1039071,0,1,1,0,184.7838,103.9071,0.0
14,8,2,855,1,3,0,6,10,23,1585366,612412,0,1,1,0,158.5366,61.2412,0.0
14,9,2,638,1,3,0,1,11,20,1438648,639315,0,1,1,0,143.8648,63.9315,0.0
15,0,3,532,1,4,2,9,4,26,1247089,1653759,0,1,1,0,124.7089,165.3759,0.0
15,1,3,769,1,4,2,7,4,18,935841,1280131,0,1,1,0,93.5841,128.0131,0.0
15,2,3,583,1,4,2,6,1,20,1072678,1240399,0,1,1,0,107.2678,124.0399,0.0
15,3,1,499,1,4,2,11,3,21,607546,1458894,0,1,1,0,60.7546,145.8894,0.0
15,4,3,9,1,4,2,7,2,27,993433,1509666,0,1,1,0,99.3433,150.9666,0.0
15,5,3,339,1,4,2,10,6,25,809988,1507867,0,1,1,0,80.9988,150.7867,0.0
15,6,1,567,1,4,2,7,5,27,500000,1544683,0,1,1,0,50.0,154.4683,0.0
15,7,1,8,1,4,2,8,1,19,1171167,1964670,0,1,1,0,117.1167,196.467,0.0
15,8,3,985,1,4,2,7,1,23,891067,1060222,0,1,1,0,89.1067,106.0222,0.0
15,9,2,762,1,4,2,2,8,21,1359865,610575,0,1,1,0,135.9865,61.0575,0.0
16,0,2,962,2,3,2,3,7,21,1805621,684648,0,1,1,0,180.5621,68.4648,0.0
16,1,2,655,2,3,2,5,7,19,1634162,500000,0,1,1,0,163.4162,50.0,0.0
16,2,3,5,2,3,2,1,10,18,1316863,913070,0,1,1,0,131.6863,91.307,0.0
16,3,3,124,2,3,2,1,6,27,1478526,961537,0,1,1,0,147.8526,96.1537,0.0
16,4,1,242,2,3,2,8,6,18,591888,1006587,0,1,1,0,59.1888,100.6587,0.0
16,5,1,412,2,3,2,10,1,21,506895,1756777,0,1,1,0,50.6895,175.6777,0.0
16,6,2,239,2,3,2,3,7,25,1883529,841430,0,1,1,0,188.3529,84.143,0.0
16,7,2,37,2,3,2,6,11,23,1841672,612096,0,1,1,0,184.1672,61.2096,0.0
16,8,1,9,2,3,2,7,2,27,993433,1509666,0,1,1,0,99.3433,150.9666,0.0
16,9,2,866,2,3,2,1,8,18,1555523,500000,0,1,1,0,155.5523,50.0,0.0
17,0,3,531,0,3,3,10,1,18,825273,1072252,0,1,1,0,82.5273,107.2252,0.0
17,1,1,30,0,3,3,8,3,23,645475,1603327,0,1,1,0,64.5475,160.3327,0.0
17,2,1,780,0,3,3,7,2,25,650457,1792297,0,1,1,0,65.0457,179.2297,0.0
17,3,3,854,0,3,3,9,3,21,1145578,1583291,0,1,1,0,114.5578,158.3291,0.0
17,4,3,680,0,3,3,6,2,24,882304,1454409,0,1,1,0,88.2304,145.4409,0.0
17,5,1,85,0,3,3,6,8,18,1394378,695213,0,1,1,0,139.4378,69.5213,0.0
17,6,2,535,0,3,3,9,3,20,820370,970765,0,1,1,0,82.037,97.0765,0.0
17,7,3,137,0,3,3,5,8,24,1570573,599851,0,1,1,0,157.0573,59.9851,0.0
17,8,2,220,0,3,3,5,10,24,1293106,898651,0,1,1,0,129.3106,89.8651,0.0
17,9,3,497,0,3,3,2,7,25,1395206,1075215,0,1,1,0,139.5206,107.5215,0.0
18,0,1,888,2,2,2,11,2,25,867429,2000000,0,1,1,0,86.7429,200.0,0.0
18,1,2,960,2,2,2,4,9,24,1513189,755688,0,1,1,0,151.3189,75.5688,0.0
18,2,3,891,2,2,2,11,6,23,935085,1362568,0,1,1,0,93.5085,136.2568,0.0
18,3,1,910,2,2,2,10,4,25,758112,1404657,0,1,1,0,75.8112,140.4657,0.0
18,4,1,300,2,2,2,10,5,27,552041,1506931,0,1,1,0,55.2041,150.6931,0.0
18,5,1,323,2,2,2,8,5,25,571633,1425333,0,1,1,0,57.1633,142.5333,0.0
18,6,2,635,2,2,2,3,10,19,1387101,908248,0,1,1,0,138.7101,90.8248,0.0
18,7,1,439,2,2,2,6,3,19,624044,1779112,0,1,1,0,62.4044,177.9112,0.0
18,8,3,471,2,2,2,4,9,22,1919391,1131040,0,1,1,0,191.9391,113.104,0.0
18,9,2,186,2,2,2,1,7,21,1471886,802789,0,1,1,0,147.1886,80.2789,0.0
19,0,3,294,0,4,0,6,2,21,871813,1946931,0,1,1,0,87.1813,194.6931,0.0
19,1,3,42,0,4,0,7,3,26,1101654,1790724,0,1,1,0,110.1654,179.0724,0.0
19,2,3,852,0,4,0,6,8,20,1038242,832631,0,1,1,0,103.8242,83.2631,0.0
19,3,3,112,0,4,0,5,8,24,1920621,868824,0,1,1,0,192.0621,86.8824,0.0
19,4,3,231,0,4,0,7,2,18,904600,1929401,0,1,1,0,90.46,192.9401,0.0
19,5,3,417,0,4,0,10,4,21,759232,1006786,0,1,1,0,75.9232,100.6786,0.0
19,6,1,30,0,4,0,8,3,23,645475,1603327,0,1,1,0,64.5475,160.3327,0.0
19,7,3,334,0,4,0,3,7,21,2000000,1025372,0,1,1,0,200.0,102.5372,0.0
19,8,2,915,0,4,0,4,9,25,1094446,527423,0,1,1,0,109.4446,52.7423,0.0
19,9,1,480,0,4,0,6,2,19,988471,1287027,0,1,1,0,98.8471,128.7027,0.0
20,0,1,320,2,1,0,10,4,19,833556,1168281,0,1,1,0,83.3556,116.8281,0.0
20,1,3,139,2,1,0,8,3,23,919658,1545285,0,1,1,0,91.9658,154.5285,0.0
20,2,1,476,2,1,0,9,1,27,630781,1629452,0,1,1,0,63.0781,162.9452,0.0
20,3,3,242,2,1,0,8,6,18,591888,1006587,0,1,1,0,59.1888,100.6587,0.0
20,4,2,458,2,1,0,3,8,25,1327646,933901,0,1,1,0,132.7646,93.3901,0.0
20,5,1,163,2,1,0,9,2,26,952143,1126352,0,1,1,0,95.2143,112.6352,0.0
20,6,1,910,2,1,0,10,4,25,758112,1404657,0,1,1,0,75.8112,140.4657,0.0
20,7,1,985,2,1,0,7,1,23,891067,1060222,0,1,1,0,89.1067,106.0222,0.0
20,8,3,516,2,1,0,4,9,24,2000000,1129016,0,1,1,0,200.0,112.9016,0.0
20,9,1,415,2,1,0,7,5,23,616074,1062164,0,1,1,0,61.6074,106.2164,0.0
21,0,1,826,2,3,4,9,1,25,1038550,1958226,0,1,1,0,103.855,195.8226,0.0
21,1,3,318,2,3,4,1,7,20,1050257,1040733,0,1,1,0,105.0257,104.0733,0.0
21,2,1,795,2,3,4,1,10,21,1123732,617073,0,1,1,0,112.3732,61.7073,0.0
21,3,1,508,2,3,4,11,4,23,668507,1347753,0,1,1,0,66.8507,134.7753,0.0
21,4,1,573,2,3,4,9,6,18,519883,1061507,0,1,1,0,51.9883,106.1507,0.0
21,5,3,898,2,3,4,11,1,23,912948,1677334,0,1,1,0,91.2948,167.7334,0.0
21,6,2,133,2,3,4,2,6,27,1355483,1050348,0,1,1,0,135.5483,105.0348,0.0
21,7,3,295,2,3,4,7,6,24,799455,1204904,0,1,1,0,79.9455,120.4904,0.0
21,8,3,840,2,3,4,3,6,22,1377636,951819,0,1,1,0,137.7636,95.1819,0.0
21,9,2,254,2,3,4,4,6,20,1734983,794888,0,1,1,0,173.4983,79.4888,0.0
22,0,3,925,3,5,2,9,1,26,1095425,1807087,0,1,1,0,109.5425,180.7087,0.0
22,1,3,515,3,5,2,6,7,18,1091247,1069382,0,1,1,0,109.1247,106.9382,0.0
22,2,3,658,3,5,2,6,4,25,1013469,1091766,0,1,1,0,101.3469,109.1766,0.0
22,3,3,396,3,5,2,1,11,24,1844462,1038841,0,1,1,0,184.4462,103.8841,0.0
22,4,3,984,3,5,2,2,6,25,1076331,903121,0,1,1,0,107.6331,90.3121,0.0
22,5,3,913,3,5,2,9,5,20,1091419,1918723,0,1,1,0,109.1419,191.8723,0.0
22,6,1,89,3,5,2,8,1,26,743010,1296181,0,1,1,0,74.301,129.6181,0.0
22,7,3,742,3,5,2,10,6,21,1014131,1126523,0,1,1,0,101.4131,112.6523,0.0
22,8,2,862,3,5,2,6,10,25,1062222,500000,0,1,1,0,106.2222,50.0,0.0
22,9,3,799,3,5,2,9,5,22,919801,1436213,0,1,1,0,91.9801,143.6213,0.0
23,0,2,627,2,4,1,2,6,20,1585763,627692,0,1,1,0,158.5763,62.7692,0.0
23,1,3,320,2,4,1,10,4,19,833556,1168281,0,1,1,0,83.3556,116.8281,0.0
23,2,1,68,2,4,1,7,5,25,750816,1338839,0,1,1,0,75.0816,133.8839,0.0
23,3,2,197,2,4,1,10,1,20,814346,1019626,0,1,1,0,81.4346,101.9626,0.0
23,4,3,24,2,4,1,6,3,25,853722,1843074,0,1,1,0,85.3722,184.3074,0.0
23,5,3,955,2,4,1,5,11,23,1980964,1129303,0,1,1,0,198.0964,112.9303,0.0
23,6,3,976,2,4,1,3,11,25,1984706,1031881,0,1,1,0,198.4706,103.1881,0.0
23,7,3,186,2,4,1,1,7,21,1471886,802789,0,1,1,0,147.1886,80.2789,0.0
23,8,1,245,2,4,1,9,2,20,847375,1788262,0,1,1,0,84.7375,178.8262,0.0
23,9,2,653,2,4,1,5,6,19,1711180,506424,0,1,1,0,171.118,50.6424,0.0
24,0,3,355,3,5,7,4,11,25,1596653,844653,0,1,1,0,159.6653,84.4653,0.0
24,1,3,953,3,5,7,8,6,21,1061129,1302322,0,1,1,0,106.1129,130.2322,0.0
24,2,1,743,3,5,7,9,3,22,625435,1386339,0,1,1,0,62.5435,138.6339,0.0
24,3,2,617,3,5,7,5,9,27,1834126,521963,0,1,1,0,183.4126,52.1963,0.0
24,4,3,525,3,5,7,7,4,23,964907,1497131,0,1,1,0,96.4907,149.7131,0.0
24,5,2,736,3,5,7,2,6,22,1510102,843414,0,1,1,0,151.0102,84.3414,0.0
24,6,2,604,3,5,7,3,10,27,1178981,797399,0,1,1,0,117.8981,79.7399,0.0
24,7,2,942,3,5,7,5,6,27,1988995,654445,0,1,1,0,198.8995,65.4445,0.0
24,8,3,651,3,5,7,7,5,23,985704,1095161,0,1,1,0,98.5704,109.5161,0.0
24,9,2,414,3,5,7,1,8,22,2000000,670674,0,1,1,0,200.0,67.0674,0.0
25,0,2,297,2,2,1,6,10,21,1586402,597989,0,1,1,0,158.6402,59.7989,0.0
25,1,3,162,2,2,1,10,1,25,1083735,1110446,0,1,1,0,108.3735,111.0446,0.0
25,2,2,394,2,2,1,3,10,18,1143967,636749,0,1,1,0,114.3967,63.6749,0.0
25,3,3,537,2,2,1,5,7,22,1909679,669750,0,1,1,0,190.9679,66.975,0.0
25,4,3,147,2,2,1,7,4,20,1220409,1957527,0,1,1,0,122.0409,195.7527,0.0
25,5,3,164,2,2,1,9,4,26,688030,1785917,0,1,1,0,68.803,178.5917,0.0
25,6,3,2,2,2,1,5,10,19,1151389,1017671,0,1,1,0,115.1389,101.7671,0.0
25,7,3,322,2,2,1,7,2,19,775485,1792719,0,1,1,0,77.5485,179.2719,0.0
25,8,1,143,2,2,1,7,3,19,815874,1842171,0,1,1,0,81.5874,184.2171,0.0
25,9,1,819,2,2,1,6,3,19,868979,1883780,0,1,1,0,86.8979,188.378,0.0
26,0,3,55,1,3,3,7,2,26,970627,1297041,0,1,1,0,97.0627,129.7041,0.0
26,1,1,751,1,3,3,8,2,18,753339,1679051,0,1,1,0,75.3339,167.9051,0.0
26,2,3,553,1,3,3,9,4,21,891829,1258830,0,1,1,0,89.1829,125.883,0.0
26,3,1,994,1,3,3,8,3,25,658910,1587916,0,1,1,0,65.891,158.7916,0.0
26,4,3,497,1,3,3,2,7,25,1395206,1075215,0,1,1,0,139.5206,107.5215,0.0
26,5,3,393,1,3,3,10,1,19,1050635,1651485,0,1,1,0,105.0635,165.1485,0.0
26,6,1,73,1,3,3,11,5,27,935481,1615214,0,1,1,0,93.5481,161.5214,0.0
26,7,1,473,1,3,3,10,2,18,572543,1742875,0,1,1,0,57.2543,174.2875,0.0
26,8,3,988,1,3,3,1,11,23,1501542,748141,0,1,1,0,150.1542,74.8141,0.0
26,9,2,450,1,3,3,3,7,18,1026852,792955,0,1,1,0,102.6852,79.2955,0.0
27,0,3,395,3,2,4,1,6,23,1636389,1060856,0,1,1,0,163.6389,106.0856,0.0
27,1,2,404,3,2,4,4,11,22,1101103,538498,0,1,1,0,110.1103,53.8498,0.0
27,2,3,403,3,2,4,3,7,23,1589134,1233894,0,1,1,0,158.9134,123.3894,0.0
27,3,3,343,3,2,4,4,10,24,1239032,1088529,0,1,1,0,123.9032,108.8529,0.0
27,4,3,734,3,2,4,10,2,20,890496,1649262,0,1,1,0,89.0496,164.9262,0.0
27,5,2,663,3,2,4,6,10,24,2000000,765111,0,1,1,0,200.0,76.5111,0.0
27,6,1,914,3,2,4,9,6,23,574485,1802668,0,1,1,0,57.4485,180.2668,0.0
27,7,3,668,3,2,4,2,6,27,1346351,1048452,0,1,1,0,134.6351,104.8452,0.0
27,8,3,742,3,2,4,10,6,21,1014131,1126523,0,1,1,0,101.4131,112.6523,0.0
27,9,1,203,3,2,4,6,2,18,693035,1938473,0,1,1,0,69.3035,193.8473,0.0
28,0,3,441,1,5,1,7,2,27,614140,1245851,0,1,1,0,61.414,124.5851,0.0
