scenario_id,dur1,dur2,dur3,fee1,fee2,fee3,exempt1,exempt2,exempt3
86,22,19,24,15000,88000,0,1,1,0
87,21,20,24,133000,460000,0,1,1,0
88,11,10,24,284000,437000,0,1,1,0
89,3,4,24,3967000,386000,0,1,1,0
90,11,10,24,40000,215000,0,1,1,0
91,2,23,24,1026000,40000,0,1,1,0
92,21,20,24,53000,106000,0,1,1,0
93,23,23,24,0,0,0,1,1,0
94,10,14,24,3005000,925000,0,1,1,0
95,15,9,24,698000,1597000,0,1,1,0
96,9,8,24,1385000,2529000,0,1,1,0
97,4,9,24,2560000,221000,0,1,1,0
98,17,14,24,406000,2115000,0,1,1,0
99,11,12,24,1616000,536000,0,1,1,0
100,18,17,24,172000,492000,0,1,1,0
101,10,19,24,1093000,269000,0,1,1,0
102,15,18,24,52000,26000,0,1,1,0
103,22,16,24,6000,41000,0,1,1,0
104,5,11,24,2455000,404000,0,1,1,0
105,17,22,24,1839000,163000,0,1,1,0
106,9,8,24,1305000,2025000,0,1,1,0
107,12,15,24,74000,10000,0,1,1,0
108,4,5,24,60000,49000,0,1,1,0
109,20,21,24,565000,246000,0,1,1,0
110,18,17,24,113000,331000,0,1,1,0
111,23,9,24,1000,194000,0,1,1,0
112,18,19,24,187000,99000,0,1,1,0
113,18,9,24,54000,988000,0,1,1,0
114,21,18,24,84000,685000,0,1,1,0
115,19,18,24,146000,647000,0,1,1,0
116,19,1,24,533000,2953000,0,1,1,0
117,9,11,24,1225000,245000,0,1,1,0
118,23,23,24,0,0,0,1,1,0
119,10,9,24,387000,1189000,0,1,1,0
120,4,21,24,231000,13000,0,1,1,0
121,11,2,24,70000,334000,0,1,1,0
122,14,13,24,277000,1064000,0,1,1,0
123,10,6,24,541000,2086000,0,1,1,0
124,20,21,24,598000,237000,0,1,1,0
125,23,23,24,0,0,0,1,1,0
126,21,22,24,508000,45000,0,1,1,0
127,17,15,24,164000,387000,0,1,1,0
128,21,22,24,215000,121000,0,1,1,0
129,21,17,24,242000,645000,0,1,1,0
130,15,16,24,325000,222000,0,1,1,0
131,10,7,24,688000,1254000,0,1,1,0
132,18,19,24,159000,58000,0,1,1,0
133,19,18,24,108000,1131000,0,1,1,0
134,22,23,24,136000,49000,0,1,1,0
135,23,23,24,0,0,0,1,1,0
136,3,1,24,1518000,1876000,0,1,1,0
137,20,19,24,183000,459000,0,1,1,0
138,17,16,24,268000,431000,0,1,1,0
139,15,3,24,23000,320000,0,1,1,0
140,12,13,24,826000,385000,0,1,1,0
141,6,3,24,596000,1723000,0,1,1,0
142,10,1,24,1095000,2738000,0,1,1,0
143,7,13,24,62000,26000,0,1,1,0
144,6,15,24,934000,357000,0,1,1,0
145,18,15,24,244000,1519000,0,1,1,0
146,20,11,24,48000,335000,0,1,1,0
147,10,7,24,73000,496000,0,1,1,0
148,18,17,24,117000,157000,0,1,1,0
149,17,18,24,678000,447000,0,1,1,0
150,16,2,24,99000,1609000,0,1,1,0
151,6,23,24,27000,1000,0,1,1,0
152,16,17,24,223000,71000,0,1,1,0
153,6,7,24,2274000,576000,0,1,1,0
154,20,22,24,633000,283000,0,1,1,0
155,2,16,24,5633000,1570000,0,1,1,0
156,21,22,24,293000,39000,0,1,1,0
157,12,19,24,493000,64000,0,1,1,0
158,9,6,24,793000,2123000,0,1,1,0
159,17,16,24,75000,188000,0,1,1,0
160,20,19,24,71000,212000,0,1,1,0
161,17,18,24,263000,103000,0,1,1,0
162,21,20,24,53000,654000,0,1,1,0
163,18,19,24,1067000,245000,0,1,1,0
164,1,19,24,1352000,191000,0,1,1,0
165,8,21,24,1500000,156000,0,1,1,0
166,22,21,24,7000,25000,0,1,1,0
167,15,14,24,188000,255000,0,1,1,0
168,23,22,24,124000,285000,0,1,1,0
169,23,19,24,11000,162000,0,1,1,0
170,5,23,24,771000,22000,0,1,1,0
171,23,23,24,0,0,0,1,1,0
172,12,13,24,1294000,444000,0,1,1,0
173,10,11,24,435000,297000,0,1,1,0
174,16,17,24,105000,47000,0,1,1,0
175,7,20,24,306000,21000,0,1,1,0
176,20,8,24,203000,1533000,0,1,1,0
177,12,13,24,2559000,1905000,0,1,1,0
178,9,8,24,219000,814000,0,1,1,0
179,21,6,24,10000,382000,0,1,1,0
180,23,23,24,0,0,0,1,1,0
181,15,16,24,305000,167000,0,1,1,0
182,14,15,24,1249000,943000,0,1,1,0
183,13,12,24,317000,1041000,0,1,1,0
184,10,9,24,82000,493000,0,1,1,0
185,16,17,24,399000,137000,0,1,1,0
186,9,8,24,570000,780000,0,1,1,0
187,3,2,24,1079000,1915000,0,1,1,0
188,2,3,24,1476000,348000,0,1,1,0
189,21,20,24,1000,12000,0,1,1,0
190,2,7,24,320000,104000,0,1,1,0
191,17,18,24,197000,139000,0,1,1,0
192,12,2,24,154000,1397000,0,1,1,0
193,5,8,24,2547000,964000,0,1,1,0
194,11,17,24,573000,130000,0,1,1,0
195,12,18,24,1359000,283000,0,1,1,0
196,23,22,24,44000,112000,0,1,1,0
197,15,2,24,214000,870000,0,1,1,0
198,1,2,24,2134000,928000,0,1,1,0
199,6,22,24,3071000,94000,0,1,1,0
200,21,7,24,87000,1132000,0,1,1,0
201,14,15,24,613000,483000,0,1,1,0
202,19,23,24,68000,12000,0,1,1,0
203,3,23,24,927000,28000,0,1,1,0
204,21,22,24,359000,136000,0,1,1,0
205,13,14,24,494000,256000,0,1,1,0
206,13,14,24,693000,79000,0,1,1,0
207,22,21,24,44000,297000,0,1,1,0
208,16,15,24,111000,510000,0,1,1,0
209,11,10,24,227000,1207000,0,1,1,0
210,15,23,24,1466000,120000,0,1,1,0
211,9,8,24,996000,2113000,0,1,1,0
212,19,18,24,176000,356000,0,1,1,0
213,23,23,24,0,0,0,1,1,0
214,9,10,24,1356000,1010000,0,1,1,0
215,15,14,24,180000,343000,0,1,1,0
216,22,23,24,372000,104000,0,1,1,0
217,15,14,24,99000,944000,0,1,1,0
218,12,11,24,311000,529000,0,1,1,0
219,7,1,24,1181000,1962000,0,1,1,0
220,12,1,24,24000,90000,0,1,1,0
221,20,19,24,227000,357000,0,1,1,0
222,13,16,24,408000,226000,0,1,1,0
223,15,16,24,402000,191000,0,1,1,0
224,10,13,24,912000,545000,0,1,1,0
225,10,9,24,560000,2303000,0,1,1,0
226,15,20,24,436000,84000,0,1,1,0
227,11,12,24,823000,540000,0,1,1,0
228,5,13,24,4130000,1660000,0,1,1,0
229,4,3,24,1568000,3163000,0,1,1,0
230,18,17,24,127000,430000,0,1,1,0
231,22,8,24,75000,873000,0,1,1,0
232,11,10,24,776000,1009000,0,1,1,0
233,10,21,24,492000,71000,0,1,1,0
234,15,5,24,338000,2569000,0,1,1,0
235,9,8,24,856000,2666000,0,1,1,0
236,3,20,24,2254000,227000,0,1,1,0
237,18,17,24,837000,2326000,0,1,1,0
238,20,9,24,307000,1345000,0,1,1,0
239,19,21,24,1011000,77000,0,1,1,0
240,2,11,24,1993000,688000,0,1,1,0
241,18,9,24,38000,315000,0,1,1,0
242,23,23,24,0,0,0,1,1,0
243,6,20,24,1569000,302000,0,1,1,0
244,13,12,24,656000,3366000,0,1,1,0
245,17,16,24,482000,808000,0,1,1,0
246,17,16,24,485000,651000,0,1,1,0
247,21,22,24,477000,133000,0,1,1,0
248,23,23,24,0,0,0,1,1,0
249,23,18,24,65000,622000,0,1,1,0
250,9,8,24,1737000,2108000,0,1,1,0
251,17,18,24,315000,67000,0,1,1,0
252,17,18,24,471000,108000,0,1,1,0
253,15,11,24,538000,2118000,0,1,1,0
254,14,23,24,812000,38000,0,1,1,0
255,14,13,24,818000,1098000,0,1,1,0
256,9,8,24,193000,394000,0,1,1,0
257,4,18,24,1924000,116000,0,1,1,0
258,6,18,24,208000,16000,0,1,1,0
259,21,14,24,123000,737000,0,1,1,0
260,12,13,24,2201000,1677000,0,1,1,0
261,6,5,24,607000,2967000,0,1,1,0
262,13,1,24,93000,939000,0,1,1,0
263,12,13,24,117000,75000,0,1,1,0
264,21,22,24,71000,11000,0,1,1,0
265,17,16,24,384000,734000,0,1,1,0
266,9,17,24,1829000,515000,0,1,1,0
267,21,12,24,17000,122000,0,1,1,0
268,15,14,24,69000,292000,0,1,1,0
269,2,1,24,338000,800000,0,1,1,0
270,11,6,24,125000,1446000,0,1,1,0
271,16,18,24,26000,9000,0,1,1,0
272,2,1,24,226000,901000,0,1,1,0
273,12,4,24,382000,1222000,0,1,1,0
274,13,12,24,365000,700000,0,1,1,0
275,9,10,24,357000,220000,0,1,1,0
276,7,16,24,1510000,394000,0,1,1,0
277,16,15,24,105000,162000,0,1,1,0
278,8,10,24,521000,104000,0,1,1,0
279,11,13,24,699000,495000,0,1,1,0
280,10,20,24,813000,114000,0,1,1,0
281,18,2,24,59000,427000,0,1,1,0
282,6,5,24,329000,686000,0,1,1,0
283,18,17,24,645000,1332000,0,1,1,0
284,15,8,24,200000,774000,0,1,1,0
285,1,2,24,607000,317000,0,1,1,0
286,11,10,24,376000,2833000,0,1,1,0
287,10,12,24,1575000,613000,0,1,1,0
288,6,13,24,1750000,444000,0,1,1,0
289,11,10,24,2182000,3361000,0,1,1,0
290,18,17,24,281000,491000,0,1,1,0
291,6,7,24,1470000,657000,0,1,1,0
292,16,17,24,572000,446000,0,1,1,0
293,18,17,24,100000,623000,0,1,1,0
294,12,18,24,369000,104000,0,1,1,0
295,5,8,24,749000,136000,0,1,1,0
296,20,16,24,174000,523000,0,1,1,0
297,23,23,24,0,0,0,1,1,0
298,11,12,24,1660000,805000,0,1,1,0
299,5,21,24,1308000,111000,0,1,1,0
300,8,7,24,594000,1218000,0,1,1,0
301,22,23,24,204000,14000,0,1,1,0
302,5,6,24,1526000,1105000,0,1,1,0
303,23,23,24,0,0,0,1,1,0
304,9,1,24,2002000,5237000,0,1,1,0
305,22,21,24,88000,839000,0,1,1,0
306,8,11,24,1112000,414000,0,1,1,0
307,16,17,24,349000,132000,0,1,1,0
308,12,18,24,766000,170000,0,1,1,0
309,6,7,24,216000,49000,0,1,1,0
310,16,15,24,176000,645000,0,1,1,0
311,1,2,24,2319000,904000,0,1,1,0
312,2,15,24,367000,56000,0,1,1,0
313,7,8,24,44000,12000,0,1,1,0
314,17,18,24,557000,300000,0,1,1,0
315,18,19,24,1137000,477000,0,1,1,0
316,5,20,24,1171000,42000,0,1,1,0
317,9,21,24,1458000,106000,0,1,1,0
318,1,3,24,2232000,1100000,0,1,1,0
319,5,9,24,1288000,559000,0,1,1,0
320,9,8,24,436000,875000,0,1,1,0
321,23,23,24,0,0,0,1,1,0
322,17,16,24,366000,693000,0,1,1,0
323,14,15,24,940000,414000,0,1,1,0
324,15,10,24,84000,977000,0,1,1,0
325,21,22,24,268000,133000,0,1,1,0
326,22,21,24,126000,230000,0,1,1,0
327,15,11,24,828000,1587000,0,1,1,0
328,16,18,24,342000,136000,0,1,1,0
329,17,16,24,52000,188000,0,1,1,0
330,21,20,24,11000,97000,0,1,1,0
331,8,9,24,2852000,2210000,0,1,1,0
332,9,10,24,2084000,1032000,0,1,1,0
333,19,23,24,130000,3000,0,1,1,0
334,21,22,24,710000,387000,0,1,1,0
335,9,19,24,444000,121000,0,1,1,0
336,15,7,24,230000,689000,0,1,1,0
337,12,11,24,704000,1292000,0,1,1,0
338,11,10,24,442000,1747000,0,1,1,0
339,14,16,24,1140000,526000,0,1,1,0
340,14,15,24,605000,346000,0,1,1,0
341,23,23,24,0,0,0,1,1,0
342,12,13,24,795000,172000,0,1,1,0
343,16,15,24,360000,1131000,0,1,1,0
344,3,16,24,440000,29000,0,1,1,0
345,22,21,24,184000,458000,0,1,1,0
346,3,21,24,1319000,77000,0,1,1,0
347,3,4,24,2901000,1979000,0,1,1,0
348,3,22,24,3107000,226000,0,1,1,0
349,20,22,24,138000,55000,0,1,1,0
350,20,12,24,83000,930000,0,1,1,0
351,22,21,24,388000,720000,0,1,1,0
352,12,13,24,349000,100000,0,1,1,0
353,22,23,24,89000,9000,0,1,1,0
354,21,20,24,20000,38000,0,1,1,0
355,10,9,24,2758000,3387000,0,1,1,0
356,8,11,24,2898000,1376000,0,1,1,0
357,1,5,24,1046000,684000,0,1,1,0
358,2,22,24,846000,49000,0,1,1,0
359,17,13,24,119000,1174000,0,1,1,0
360,17,18,24,280000,84000,0,1,1,0
361,19,20,24,475000,211000,0,1,1,0
362,23,23,24,0,0,0,1,1,0
363,5,4,24,236000,1026000,0,1,1,0
364,22,14,24,14000,343000,0,1,1,0
365,20,19,24,62000,261000,0,1,1,0
366,9,10,24,123000,39000,0,1,1,0
367,22,15,24,133000,1122000,0,1,1,0
368,21,22,24,196000,100000,0,1,1,0
369,22,21,24,6000,21000,0,1,1,0
370,10,9,24,948000,1191000,0,1,1,0
371,6,5,24,530000,1004000,0,1,1,0
372,7,6,24,1725000,2363000,0,1,1,0
373,9,18,24,1081000,65000,0,1,1,0
374,23,2,24,0,9000,0,1,1,0
375,23,23,24,0,0,0,1,1,0
376,6,20,24,677000,68000,0,1,1,0
377,4,2,24,391000,1439000,0,1,1,0
378,23,20,24,42000,711000,0,1,1,0
379,19,18,24,62000,239000,0,1,1,0
380,21,20,24,264000,1005000,0,1,1,0
381,15,5,24,149000,572000,0,1,1,0
382,2,3,24,2945000,2080000,0,1,1,0
383,6,1,24,1338000,1971000,0,1,1,0
384,13,14,24,498000,355000,0,1,1,0
385,22,23,24,10000,2000,0,1,1,0
386,18,17,24,221000,851000,0,1,1,0
387,15,14,24,116000,764000,0,1,1,0
388,19,18,24,69000,133000,0,1,1,0
389,7,1,24,395000,948000,0,1,1,0
390,10,3,24,407000,1180000,0,1,1,0
391,18,19,24,169000,86000,0,1,1,0
392,9,10,24,375000,79000,0,1,1,0
393,7,8,24,1236000,980000,0,1,1,0
394,14,13,24,613000,1578000,0,1,1,0
395,23,22,24,25000,104000,0,1,1,0
396,5,4,24,478000,892000,0,1,1,0
397,22,21,24,18000,161000,0,1,1,0
398,13,5,24,1663000,3911000,0,1,1,0
399,4,5,24,1687000,239000,0,1,1,0
400,7,18,24,2319000,527000,0,1,1,0
401,18,17,24,164000,925000,0,1,1,0
402,6,21,24,2633000,158000,0,1,1,0
403,8,7,24,25000,53000,0,1,1,0
404,23,23,24,0,0,0,1,1,0
405,7,12,24,2924000,773000,0,1,1,0
406,16,15,24,52000,286000,0,1,1,0
407,22,21,24,40000,331000,0,1,1,0
408,19,16,24,55000,153000,0,1,1,0
409,16,15,24,374000,605000,0,1,1,0
410,7,16,24,39000,13000,0,1,1,0
411,15,16,24,103000,72000,0,1,1,0
412,11,10,24,366000,2160000,0,1,1,0
413,13,20,24,658000,198000,0,1,1,0
414,19,18,24,217000,386000,0,1,1,0
415,6,7,24,1859000,1371000,0,1,1,0
416,18,20,24,230000,83000,0,1,1,0
417,17,16,24,330000,1138000,0,1,1,0
418,16,10,24,40000,93000,0,1,1,0
419,12,6,24,138000,490000,0,1,1,0
420,9,10,24,2401000,1957000,0,1,1,0
421,14,13,24,557000,998000,0,1,1,0
422,17,6,24,558000,2242000,0,1,1,0
423,12,13,24,2589000,597000,0,1,1,0
424,7,1,24,583000,1460000,0,1,1,0
425,22,21,24,21000,134000,0,1,1,0
426,20,7,24,15000,355000,0,1,1,0
427,17,14,24,5000,36000,0,1,1,0
428,4,2,24,1048000,1953000,0,1,1,0
429,17,22,24,5000,1000,0,1,1,0
430,20,15,24,100000,282000,0,1,1,0
431,4,3,24,612000,1229000,0,1,1,0
432,3,2,24,350000,2468000,0,1,1,0
433,17,16,24,99000,675000,0,1,1,0
434,23,1,24,57000,2020000,0,1,1,0
435,21,20,24,220000,597000,0,1,1,0
436,20,21,24,371000,132000,0,1,1,0
437,5,14,24,797000,226000,0,1,1,0
438,7,1,24,223000,453000,0,1,1,0
439,4,17,24,1550000,286000,0,1,1,0
440,9,10,24,2343000,951000,0,1,1,0
441,14,1,24,238000,3201000,0,1,1,0
442,8,7,24,454000,936000,0,1,1,0
443,20,3,24,160000,3305000,0,1,1,0
444,23,22,24,18000,204000,0,1,1,0
445,7,10,24,166000,23000,0,1,1,0
446,14,13,24,159000,878000,0,1,1,0
447,10,9,24,1180000,1678000,0,1,1,0
448,6,12,24,2137000,1257000,0,1,1,0
449,18,2,24,184000,817000,0,1,1,0
450,20,19,24,108000,396000,0,1,1,0
451,16,15,24,1019000,1404000,0,1,1,0
452,6,5,24,2719000,3836000,0,1,1,0
453,7,8,24,850000,353000,0,1,1,0
454,20,4,24,73000,664000,0,1,1,0
455,19,8,24,442000,1967000,0,1,1,0
456,17,19,24,1191000,716000,0,1,1,0
457,20,19,24,321000,554000,0,1,1,0
458,11,12,24,204000,39000,0,1,1,0
459,19,4,24,294000,1820000,0,1,1,0
460,16,9,24,779000,1982000,0,1,1,0
461,21,20,24,237000,462000,0,1,1,0
462,16,17,24,244000,74000,0,1,1,0
463,6,5,24,342000,940000,0,1,1,0
464,13,6,24,656000,1583000,0,1,1,0
465,4,14,24,3105000,755000,0,1,1,0
466,15,16,24,803000,362000,0,1,1,0
467,15,16,24,1338000,525000,0,1,1,0
468,17,16,24,182000,362000,0,1,1,0
469,6,13,24,2558000,185000,0,1,1,0
470,19,1,24,302000,1729000,0,1,1,0
471,19,18,24,394000,791000,0,1,1,0
472,15,14,24,91000,201000,0,1,1,0
473,21,18,24,163000,792000,0,1,1,0
474,16,1,24,131000,588000,0,1,1,0
475,17,18,24,309000,58000,0,1,1,0
476,18,19,24,579000,330000,0,1,1,0
477,17,16,24,363000,1327000,0,1,1,0
478,1,21,24,4489000,121000,0,1,1,0
479,3,22,24,3014000,109000,0,1,1,0
480,5,7,24,1686000,1066000,0,1,1,0
481,5,10,24,4786000,2760000,0,1,1,0
482,10,11,24,889000,626000,0,1,1,0
483,19,20,24,631000,264000,0,1,1,0
484,11,2,24,752000,1824000,0,1,1,0
485,16,1,24,595000,5035000,0,1,1,0
486,5,4,24,943000,2041000,0,1,1,0
487,22,21,24,24000,46000,0,1,1,0
488,21,20,24,73000,404000,0,1,1,0
489,4,5,24,349000,142000,0,1,1,0
490,13,14,24,1528000,1230000,0,1,1,0
491,16,2,24,319000,2089000,0,1,1,0
492,2,9,24,1107000,469000,0,1,1,0
493,11,10,24,494000,795000,0,1,1,0
494,20,8,24,45000,1162000,0,1,1,0
495,15,11,24,1220000,3513000,0,1,1,0
496,11,10,24,1560000,1940000,0,1,1,0
497,20,19,24,272000,384000,0,1,1,0
498,10,8,24,1048000,3072000,0,1,1,0
499,9,8,24,11000,50000,0,1,1,0
500,18,17,24,2000,6000,0,1,1,0
501,5,18,24,848000,55000,0,1,1,0
502,16,17,24,1340000,831000,0,1,1,0
503,23,8,24,10000,1457000,0,1,1,0
504,21,22,24,139000,80000,0,1,1,0
505,11,12,24,2744000,2049000,0,1,1,0
506,12,9,24,201000,541000,0,1,1,0
507,17,16,24,441000,1140000,0,1,1,0
508,17,22,24,615000,112000,0,1,1,0
509,4,5,24,586000,428000,0,1,1,0
510,22,23,24,275000,121000,0,1,1,0
511,16,9,24,623000,1732000,0,1,1,0
512,6,7,24,2426000,1101000,0,1,1,0
513,9,8,24,55000,96000,0,1,1,0
514,3,7,24,616000,216000,0,1,1,0
515,20,14,24,133000,1056000,0,1,1,0
516,18,17,24,224000,384000,0,1,1,0
517,20,3,24,221000,2397000,0,1,1,0
518,21,22,24,213000,35000,0,1,1,0
519,10,19,24,2832000,522000,0,1,1,0
520,2,3,24,228000,101000,0,1,1,0
521,1,16,24,922000,191000,0,1,1,0
522,17,3,24,535000,2230000,0,1,1,0
523,4,5,24,588000,388000,0,1,1,0
524,15,6,24,26000,376000,0,1,1,0
525,13,14,24,514000,62000,0,1,1,0
526,3,15,24,2558000,625000,0,1,1,0
527,21,20,24,278000,593000,0,1,1,0
528,21,17,24,80000,386000,0,1,1,0
529,7,8,24,360000,225000,0,1,1,0
530,11,22,24,610000,66000,0,1,1,0
531,14,20,24,753000,206000,0,1,1,0
532,20,21,24,236000,82000,0,1,1,0
533,7,6,24,219000,747000,0,1,1,0
534,17,22,24,329000,55000,0,1,1,0
535,3,4,24,2953000,593000,0,1,1,0
536,9,8,24,1159000,1382000,0,1,1,0
537,10,21,24,2912000,161000,0,1,1,0
538,2,15,24,2779000,962000,0,1,1,0
539,11,12,24,463000,281000,0,1,1,0
540,22,21,24,257000,496000,0,1,1,0
541,13,14,24,1162000,664000,0,1,1,0
542,19,23,24,728000,22000,0,1,1,0
543,9,17,24,1286000,176000,0,1,1,0
544,23,23,24,0,0,0,1,1,0
545,22,23,24,74000,5000,0,1,1,0
546,4,8,24,1964000,224000,0,1,1,0
547,23,23,24,0,0,0,1,1,0
548,18,23,24,449000,26000,0,1,1,0
549,13,20,24,1270000,187000,0,1,1,0
550,23,22,24,47000,111000,0,1,1,0
551,10,11,24,146000,118000,0,1,1,0
552,12,13,24,2106000,218000,0,1,1,0
553,10,9,24,2428000,4464000,0,1,1,0
554,11,1,24,203000,999000,0,1,1,0
555,15,16,24,879000,395000,0,1,1,0
556,23,23,24,0,0,0,1,1,0
557,17,21,24,341000,98000,0,1,1,0
558,16,20,24,1459000,537000,0,1,1,0
559,9,19,24,580000,25000,0,1,1,0
560,22,23,24,51000,13000,0,1,1,0
561,23,22,24,6000,54000,0,1,1,0
562,5,6,24,1976000,1494000,0,1,1,0
563,6,18,24,343000,91000,0,1,1,0
564,23,22,24,11000,84000,0,1,1,0
565,12,19,24,1159000,309000,0,1,1,0
566,22,21,24,62000,355000,0,1,1,0
567,21,20,24,53000,256000,0,1,1,0
568,17,16,24,206000,1112000,0,1,1,0
569,10,3,24,547000,3998000,0,1,1,0
570,23,23,24,0,0,0,1,1,0
571,15,14,24,623000,897000,0,1,1,0
572,20,19,24,29000,85000,0,1,1,0
573,1,7,24,276000,81000,0,1,1,0
574,20,21,24,690000,218000,0,1,1,0
575,22,21,24,42000,130000,0,1,1,0
576,20,19,24,11000,19000,0,1,1,0
577,17,7,24,216000,744000,0,1,1,0
578,23,22,24,6000,95000,0,1,1,0
579,21,22,24,411000,140000,0,1,1,0
580,3,21,24,732000,77000,0,1,1,0
581,7,12,24,16000,3000,0,1,1,0
582,1,20,24,4956000,438000,0,1,1,0
583,7,8,24,590000,337000,0,1,1,0
584,15,10,24,313000,575000,0,1,1,0
585,16,15,24,0,2000,0,1,1,0
586,15,16,24,220000,76000,0,1,1,0
587,4,5,24,318000,68000,0,1,1,0
588,10,21,24,1478000,194000,0,1,1,0
589,19,18,24,38000,224000,0,1,1,0
590,18,19,24,248000,24000,0,1,1,0
591,6,20,24,2042000,227000,0,1,1,0
592,23,9,24,7000,207000,0,1,1,0
593,21,20,24,261000,391000,0,1,1,0
594,23,22,24,4000,65000,0,1,1,0
595,23,23,24,0,0,0,1,1,0
596,23,1,24,22000,2099000,0,1,1,0
597,19,20,24,598000,74000,0,1,1,0
598,1,7,24,356000,55000,0,1,1,0
599,13,14,24,1195000,574000,0,1,1,0
600,12,22,24,1171000,26000,0,1,1,0
601,19,17,24,437000,843000,0,1,1,0
602,16,15,24,619000,1327000,0,1,1,0
603,5,6,24,2430000,1122000,0,1,1,0
604,21,20,24,86000,154000,0,1,1,0
605,7,14,24,2031000,425000,0,1,1,0
606,11,10,24,712000,1229000,0,1,1,0
607,10,9,24,311000,442000,0,1,1,0
608,15,17,24,363000,108000,0,1,1,0
609,2,8,24,1923000,848000,0,1,1,0
610,8,3,24,512000,2232000,0,1,1,0
611,14,4,24,119000,648000,0,1,1,0
612,1,21,24,1488000,106000,0,1,1,0
613,2,3,24,4491000,789000,0,1,1,0
614,17,18,24,518000,79000,0,1,1,0
615,22,19,24,53000,299000,0,1,1,0
616,10,9,24,175000,1773000,0,1,1,0
617,22,12,24,120000,1454000,0,1,1,0
618,23,23,24,0,0,0,1,1,0
619,19,12,24,131000,693000,0,1,1,0
620,13,12,24,463000,634000,0,1,1,0
621,18,17,24,200000,532000,0,1,1,0
